id,district_id,name,bn_name,lat,lon,url
1,1,Debidwar,দেবিদ্বার,23.5965294,90.9935327,debidwar.comilla.gov.bd
2,1,Barura,বরুড়া,17.7510911,77.5547568,barura.comilla.gov.bd
3,1,Brahmanpara,ব্রাহ্মণপাড়া,23.6145423,91.1066131,brahmanpara.comilla.gov.bd
4,1,Chandina,চান্দিনা,23.4883756,91.0078123,chandina.comilla.gov.bd
5,1,Chauddagram,চৌদ্দগ্রাম,23.22597,91.3134783,chauddagram.comilla.gov.bd
6,1,Daudkandi,দাউদকান্দি,23.5373475,90.7152458,daudkandi.comilla.gov.bd
7,1,Homna,হোমনা,23.693863,90.7809834,homna.comilla.gov.bd
8,1,Laksam,লাকসাম,23.2362647,91.1198271,laksam.comilla.gov.bd
9,1,Muradnagar,মুরাদনগর,28.7733808,77.5033582,muradnagar.comilla.gov.bd
10,1,Nangalkot,নাঙ্গলকোট,0.0,0.0,nangalkot.comilla.gov.bd
11,1,Comilla Sadar,কুমিল্লা সদর,23.4553504,91.1816815,comillasadar.comilla.gov.bd
12,1,Meghna,মেঘনা,23.4342874,90.5831225,meghna.comilla.gov.bd
13,1,Monohargonj,মনোহরগঞ্জ,0.0,0.0,monohargonj.comilla.gov.bd
14,1,Sadarsouth,সদর দক্ষিণ,0.0,0.0,sadarsouth.comilla.gov.bd
15,1,Titas,তিতাস,5.8284448,-73.0350094,titas.comilla.gov.bd
16,1,Burichang,বুড়িচং,23.5598424,91.1259324,burichang.comilla.gov.bd
17,1,Lalmai,লালমাই,23.2876976,91.1278632,lalmai.comilla.gov.bd
18,2,Chhagalnaiya,ছাগলনাইয়া,0.0,0.0,chhagalnaiya.feni.gov.bd
19,2,Feni Sadar,ফেনী সদর,0.0,0.0,sadar.feni.gov.bd
20,2,Sonagazi,সোনাগাজী,0.0,0.0,sonagazi.feni.gov.bd
21,2,Fulgazi,ফুলগাজী,0.0,0.0,fulgazi.feni.gov.bd
22,2,Parshuram,পরশুরাম,17.5580167,73.5020833,parshuram.feni.gov.bd
23,2,Daganbhuiyan,দাগনভূঞা,22.9372022,91.3026932,daganbhuiyan.feni.gov.bd
24,3,Brahmanbaria Sadar,ব্রাহ্মণবাড়িয়া সদর,24.0755411,91.1123798,sadar.brahmanbaria.gov.bd
25,3,Kasba,কসবা,25.8779519,87.54692722176809,kasba.brahmanbaria.gov.bd
26,3,Nasirnagar,নাসিরনগর,24.1928465,91.1946433,nasirnagar.brahmanbaria.gov.bd
27,3,Sarail,সরাইল,44.8981185,-0.4434221,sarail.brahmanbaria.gov.bd
28,3,Ashuganj,আশুগঞ্জ,24.0335326,90.9972445,ashuganj.brahmanbaria.gov.bd
29,3,Akhaura,আখাউড়া,23.8681221,91.2088835,akhaura.brahmanbaria.gov.bd
30,3,Nabinagar,নবীনগর,24.642785,84.09682117180051,nabinagar.brahmanbaria.gov.bd
31,3,Bancharampur,বাঞ্ছারামপুর,23.7782766,90.8058623,bancharampur.brahmanbaria.gov.bd
32,3,Bijoynagar,বিজয়নগর,23.9532717,88.0458095,bijoynagar.brahmanbaria.gov.bd    
33,4,Rangamati Sadar,রাঙ্গামাটি সদর,22.3247706,92.1460867,sadar.rangamati.gov.bd
34,4,Kaptai,কাপ্তাই,22.5046788,92.2111444,kaptai.rangamati.gov.bd
35,4,Kawkhali,কাউখালী,22.6261283,90.0592775,kawkhali.rangamati.gov.bd
36,4,Baghaichari,বাঘাইছড়ি,0.0,0.0,baghaichari.rangamati.gov.bd
37,4,Barkal,বরকল,22.7987515,92.3290415,barkal.rangamati.gov.bd
38,4,Langadu,লংগদু,0.0,0.0,langadu.rangamati.gov.bd
39,4,Rajasthali,রাজস্থলী,22.1960184,70.4389963,rajasthali.rangamati.gov.bd
40,4,Belaichari,বিলাইছড়ি,0.0,0.0,belaichari.rangamati.gov.bd
41,4,Juraichari,জুরাছড়ি,22.6739081,92.3811092,juraichari.rangamati.gov.bd
42,4,Naniarchar,নানিয়ারচর,0.0,0.0,naniarchar.rangamati.gov.bd
43,5,Noakhali Sadar,নোয়াখালী সদর,0.0,0.0,sadar.noakhali.gov.bd
44,5,Companiganj,কোম্পানীগঞ্জ,23.6375741,90.971007,companiganj.noakhali.gov.bd
45,5,Begumganj,বেগমগঞ্জ,22.9421436,91.0996725,begumganj.noakhali.gov.bd
46,5,Hatia,হাতিয়া,23.2991479,85.3234589,hatia.noakhali.gov.bd
47,5,Subarnachar,সুবর্ণচর,0.0,0.0,subarnachar.noakhali.gov.bd
48,5,Kabirhat,কবিরহাট,22.8220772,91.1170328,kabirhat.noakhali.gov.bd
49,5,Senbug,সেনবাগ,0.0,0.0,senbug.noakhali.gov.bd
50,5,Chatkhil,চাটখিল,23.063094,90.9723615,chatkhil.noakhali.gov.bd
51,5,Sonaimori,সোনাইমুড়ী,24.00115625,90.77353878192967,sonaimori.noakhali.gov.bd
52,6,Haimchar,হাইমচর,23.0966624,90.6607486,haimchar.chandpur.gov.bd
53,6,Kachua,কচুয়া,23.1504621,89.2700099,kachua.chandpur.gov.bd
54,6,Shahrasti,শাহরাস্তি	,26.2256201,50.5924083,shahrasti.chandpur.gov.bd
55,6,Chandpur Sadar,চাঁদপুর সদর,25.3075653,82.9507893,sadar.chandpur.gov.bd
56,6,Matlab South,মতলব দক্ষিণ,23.3400396,90.7106389,matlabsouth.chandpur.gov.bd
57,6,Hajiganj,হাজীগঞ্জ,23.2537284,90.8528584,hajiganj.chandpur.gov.bd
58,6,Matlab North,মতলব উত্তর,23.3400396,90.7106389,matlabnorth.chandpur.gov.bd
59,6,Faridgonj,ফরিদগঞ্জ,23.0774886,90.7655479,faridgonj.chandpur.gov.bd
60,7,Lakshmipur Sadar,লক্ষ্মীপুর সদর,22.9344195,90.8326514,sadar.lakshmipur.gov.bd
61,7,Kamalnagar,কমলনগর,18.2406264,77.1787242,kamalnagar.lakshmipur.gov.bd
62,7,Raipur,রায়পুর,21.2379469,81.6336833,raipur.lakshmipur.gov.bd
63,7,Ramgati,রামগতি,22.916415,90.8375765,ramgati.lakshmipur.gov.bd
64,7,Ramganj,রামগঞ্জ,26.3249609,88.2873236,ramganj.lakshmipur.gov.bd
65,8,Rangunia,রাঙ্গুনিয়া,22.45607565,92.02744288246302,rangunia.chittagong.gov.bd
66,8,Sitakunda,সীতাকুন্ড,22.617691200000003,91.65936073313767,sitakunda.chittagong.gov.bd
67,8,Mirsharai,মীরসরাই,22.845257150000002,91.55046437143102,mirsharai.chittagong.gov.bd
68,8,Patiya,পটিয়া,21.5939437,77.0549494,patiya.chittagong.gov.bd
69,8,Sandwip,সন্দ্বীপ,22.6171321,91.6530453,sandwip.chittagong.gov.bd
70,8,Banshkhali,বাঁশখালী,22.0084916,91.9478252,banshkhali.chittagong.gov.bd
71,8,Boalkhali,বোয়ালখালী,22.1902847,90.7703044,boalkhali.chittagong.gov.bd
72,8,Anwara,আনোয়ারা,22.2234427,91.8754871,anwara.chittagong.gov.bd
73,8,Chandanaish,চন্দনাইশ,22.24184855,92.02175471129706,chandanaish.chittagong.gov.bd
74,8,Satkania,সাতকানিয়া,22.074247,92.0576236,satkania.chittagong.gov.bd
75,8,Lohagara,লোহাগাড়া,25.8514804,87.8442549,lohagara.chittagong.gov.bd
76,8,Hathazari,হাটহাজারী,22.498691,91.8071182,hathazari.chittagong.gov.bd
77,8,Fatikchhari,ফটিকছড়ি,22.6843172,91.7890082,fatikchhari.chittagong.gov.bd
78,8,Raozan,রাউজান,22.458026349999997,91.977688994239,raozan.chittagong.gov.bd
79,8,Karnafuli,কর্ণফুলী,22.458903,92.033157,karnafuli.chittagong.gov.bd
80,9,Coxsbazar Sadar,কক্সবাজার সদর,21.4408169,91.9768317373683,sadar.coxsbazar.gov.bd
